Group,Time,Feature,SHAP_Value,BaseValue
Group 508,9,Initial_Weight,-0.05540412664413452,-0.12660813331604004
Group 508,9,BET,4.103039085865021,-0.12660813331604004
Group 508,9,Time,-0.07694876194000244,-0.12660813331604004
Group 508,9,RH,0.6218820214271545,-0.12660813331604004
Group 508,9,MACCS_0,0.0,-0.12660813331604004
Group 508,9,MACCS_1,0.0,-0.12660813331604004
Group 508,9,MACCS_2,0.0,-0.12660813331604004
Group 508,9,MACCS_3,0.25463053584098816,-0.12660813331604004
Group 508,9,MACCS_4,0.0,-0.12660813331604004
Group 508,9,MACCS_5,0.0,-0.12660813331604004
Group 508,9,MACCS_6,0.0,-0.12660813331604004
Group 508,9,MACCS_7,0.0,-0.12660813331604004
Group 508,9,MACCS_8,0.5109935402870178,-0.12660813331604004
Group 508,9,MACCS_9,0.052124738693237305,-0.12660813331604004
Group 508,9,MACCS_10,0.06482446193695068,-0.12660813331604004
Group 508,9,MACCS_11,0.15637782216072083,-0.12660813331604004
Group 508,9,MACCS_12,-0.10656869411468506,-0.12660813331604004
Group 508,9,MACCS_13,0.16508430242538452,-0.12660813331604004
Group 508,9,MACCS_14,0.0,-0.12660813331604004
Group 508,9,MACCS_15,-0.2109384536743164,-0.12660813331604004
Group 508,9,MACCS_16,0.07398512959480286,-0.12660813331604004
Group 508,9,MACCS_17,-0.006545662879943848,-0.12660813331604004
Group 508,9,MACCS_18,-0.08562266826629639,-0.12660813331604004
Group 508,9,MACCS_19,0.18445876240730286,-0.12660813331604004
Group 508,9,MACCS_20,0.18168672919273376,-0.12660813331604004
Group 508,9,MACCS_21,-0.01290285587310791,-0.12660813331604004
Group 508,9,MACCS_22,-0.12350624799728394,-0.12660813331604004
Group 508,9,MACCS_23,0.014242380857467651,-0.12660813331604004
Group 508,9,MACCS_24,-0.034097135066986084,-0.12660813331604004
Group 508,9,MACCS_25,0.00673714280128479,-0.12660813331604004
Group 508,9,MACCS_26,0.014947265386581421,-0.12660813331604004
Group 508,9,MACCS_27,-0.05016094446182251,-0.12660813331604004
Group 508,9,MACCS_28,0.10594189167022705,-0.12660813331604004
Group 508,9,MACCS_29,0.03952217102050781,-0.12660813331604004
Group 508,9,MACCS_30,0.0843537449836731,-0.12660813331604004
Group 508,9,MACCS_31,0.06998813152313232,-0.12660813331604004
Group 508,9,MACCS_32,-0.006652116775512695,-0.12660813331604004
Group 508,9,MACCS_33,0.0008087754249572754,-0.12660813331604004
Group 508,9,MACCS_34,0.00087699294090271,-0.12660813331604004
Group 508,9,MACCS_35,0.10458004474639893,-0.12660813331604004
Group 508,9,MACCS_36,-0.028603434562683105,-0.12660813331604004
Group 508,9,MACCS_37,-0.018140077590942383,-0.12660813331604004
Group 508,9,MACCS_38,0.005142331123352051,-0.12660813331604004
Group 508,9,MACCS_39,-0.009749174118041992,-0.12660813331604004
Group 508,9,MACCS_40,0.01075512170791626,-0.12660813331604004
Group 508,9,MACCS_41,0.018269062042236328,-0.12660813331604004
Group 508,9,MACCS_42,0.00968635082244873,-0.12660813331604004
Group 508,9,MACCS_43,-0.018810778856277466,-0.12660813331604004
Group 508,9,MACCS_44,0.013487040996551514,-0.12660813331604004
Group 508,9,MACCS_45,0.033593058586120605,-0.12660813331604004
Group 508,9,MACCS_46,0.06038951873779297,-0.12660813331604004
Group 508,9,MACCS_47,0.11532515287399292,-0.12660813331604004
Group 508,9,MACCS_48,0.027792811393737793,-0.12660813331604004
Group 508,9,MACCS_49,0.028990983963012695,-0.12660813331604004
Group 508,9,MACCS_50,0.019619375467300415,-0.12660813331604004
Group 508,9,MACCS_51,-0.016485393047332764,-0.12660813331604004
Group 508,9,MACCS_52,0.029951512813568115,-0.12660813331604004
Group 508,9,MACCS_53,0.03257232904434204,-0.12660813331604004
Group 508,9,MACCS_54,-0.002306699752807617,-0.12660813331604004
Group 508,9,MACCS_55,-0.003706216812133789,-0.12660813331604004
Group 508,9,MACCS_56,0.053055644035339355,-0.12660813331604004
Group 508,9,MACCS_57,0.025821566581726074,-0.12660813331604004
Group 508,9,MACCS_58,-0.0012908577919006348,-0.12660813331604004
Group 508,9,MACCS_59,0.007700204849243164,-0.12660813331604004
Group 508,9,MACCS_60,-0.0018858015537261963,-0.12660813331604004
Group 508,9,MACCS_61,-0.003671407699584961,-0.12660813331604004
Group 508,9,MACCS_62,-0.010747581720352173,-0.12660813331604004
Group 508,9,MACCS_63,-0.06445556879043579,-0.12660813331604004
Group 508,9,MACCS_64,0.0009780824184417725,-0.12660813331604004
Group 508,9,MACCS_65,0.003763645887374878,-0.12660813331604004
Group 508,9,MACCS_66,0.0006368160247802734,-0.12660813331604004
Group 508,9,MACCS_67,-0.001319795846939087,-0.12660813331604004
Group 508,9,MACCS_68,-0.2570856809616089,-0.12660813331604004
Group 508,9,MACCS_69,0.00603032112121582,-0.12660813331604004
Group 508,9,MACCS_70,0.010081201791763306,-0.12660813331604004
Group 508,9,MACCS_71,-0.01893717050552368,-0.12660813331604004
Group 508,9,MACCS_72,-0.02098900079727173,-0.12660813331604004
Group 508,9,MACCS_73,0.0005763769149780273,-0.12660813331604004
Group 508,9,MACCS_74,0.008603096008300781,-0.12660813331604004
Group 508,9,MACCS_75,0.017537415027618408,-0.12660813331604004
Group 508,9,MACCS_76,0.0660785436630249,-0.12660813331604004
Group 508,9,MACCS_77,0.03012019395828247,-0.12660813331604004
Group 508,9,MACCS_78,-0.014465093612670898,-0.12660813331604004
Group 508,9,MACCS_79,0.020357608795166016,-0.12660813331604004
Group 508,9,MACCS_80,0.02973189949989319,-0.12660813331604004
Group 508,9,MACCS_81,0.003375411033630371,-0.12660813331604004
Group 508,9,MACCS_82,0.0736268162727356,-0.12660813331604004
Group 508,9,MACCS_83,0.05767238140106201,-0.12660813331604004
Group 508,9,MACCS_84,0.016110122203826904,-0.12660813331604004
Group 508,9,MACCS_85,0.04906439781188965,-0.12660813331604004
Group 508,9,MACCS_86,-0.0504184365272522,-0.12660813331604004
Group 508,9,MACCS_87,-0.006098508834838867,-0.12660813331604004
Group 508,9,MACCS_88,-0.036951154470443726,-0.12660813331604004
Group 508,9,MACCS_89,-0.01630556583404541,-0.12660813331604004
Group 508,9,MACCS_90,0.008716762065887451,-0.12660813331604004
Group 508,9,MACCS_91,0.11583518981933594,-0.12660813331604004
Group 508,9,MACCS_92,-0.0028858184814453125,-0.12660813331604004
Group 508,9,MACCS_93,0.05085209012031555,-0.12660813331604004
Group 508,9,MACCS_94,0.0035751163959503174,-0.12660813331604004
Group 508,9,MACCS_95,0.002774357795715332,-0.12660813331604004
Group 508,9,MACCS_96,-0.009573221206665039,-0.12660813331604004
Group 508,9,MACCS_97,0.0004284977912902832,-0.12660813331604004
Group 508,9,MACCS_98,0.018938541412353516,-0.12660813331604004
Group 508,9,MACCS_99,0.03711560368537903,-0.12660813331604004
Group 508,9,MACCS_100,0.013545870780944824,-0.12660813331604004
Group 508,9,MACCS_101,0.007764577865600586,-0.12660813331604004
Group 508,9,MACCS_102,-0.005823791027069092,-0.12660813331604004
Group 508,9,MACCS_103,0.0473669171333313,-0.12660813331604004
Group 508,9,MACCS_104,0.031225085258483887,-0.12660813331604004
Group 508,9,MACCS_105,0.04783147573471069,-0.12660813331604004
Group 508,9,MACCS_106,-0.01452171802520752,-0.12660813331604004
Group 508,9,MACCS_107,0.026038378477096558,-0.12660813331604004
Group 508,9,MACCS_108,0.014340758323669434,-0.12660813331604004
Group 508,9,MACCS_109,0.019726037979125977,-0.12660813331604004
Group 508,9,MACCS_110,0.04509329795837402,-0.12660813331604004
Group 508,9,MACCS_111,0.02854764461517334,-0.12660813331604004
Group 508,9,MACCS_112,-0.026956021785736084,-0.12660813331604004
Group 508,9,MACCS_113,0.010799020528793335,-0.12660813331604004
Group 508,9,MACCS_114,-0.029416948556900024,-0.12660813331604004
Group 508,9,MACCS_115,0.06641331315040588,-0.12660813331604004
Group 508,9,MACCS_116,0.01644730567932129,-0.12660813331604004
Group 508,9,MACCS_117,0.022385358810424805,-0.12660813331604004
Group 508,9,MACCS_118,-0.007820427417755127,-0.12660813331604004
Group 508,9,MACCS_119,-0.0019087791442871094,-0.12660813331604004
Group 508,9,MACCS_120,-0.005877494812011719,-0.12660813331604004
Group 508,9,MACCS_121,3.692507743835449e-05,-0.12660813331604004
Group 508,9,MACCS_122,0.006527602672576904,-0.12660813331604004
Group 508,9,MACCS_123,-0.006980597972869873,-0.12660813331604004
Group 508,9,MACCS_124,0.013720154762268066,-0.12660813331604004
Group 508,9,MACCS_125,0.012529700994491577,-0.12660813331604004
Group 508,9,MACCS_126,0.009821593761444092,-0.12660813331604004
Group 508,9,MACCS_127,0.003922164440155029,-0.12660813331604004
Group 508,9,MACCS_128,0.006707668304443359,-0.12660813331604004
Group 508,9,MACCS_129,0.02123647928237915,-0.12660813331604004
Group 508,9,MACCS_130,0.0007389187812805176,-0.12660813331604004
Group 508,9,MACCS_131,0.012374639511108398,-0.12660813331604004
Group 508,9,MACCS_132,0.06160688400268555,-0.12660813331604004
Group 508,9,MACCS_133,0.012525379657745361,-0.12660813331604004
Group 508,9,MACCS_134,0.009186029434204102,-0.12660813331604004
Group 508,9,MACCS_135,0.01948535442352295,-0.12660813331604004
Group 508,9,MACCS_136,-0.013779103755950928,-0.12660813331604004
Group 508,9,MACCS_137,0.017693638801574707,-0.12660813331604004
Group 508,9,MACCS_138,0.04953545331954956,-0.12660813331604004
