binary_label,hygroscopicity_category,group,Initial_Weight,MACCS_0,MACCS_1,MACCS_2,MACCS_3,MACCS_4,MACCS_5,MACCS_6,MACCS_7,MACCS_8,MACCS_9,MACCS_10,MACCS_11,MACCS_12,MACCS_13,MACCS_14,MACCS_15,MACCS_16,MACCS_17,MACCS_18,MACCS_19,MACCS_20,MACCS_21,MACCS_22,MACCS_23,MACCS_24,MACCS_25,MACCS_26,MACCS_27,MACCS_28,MACCS_29,MACCS_30,MACCS_31,MACCS_32,MACCS_33,MACCS_34,MACCS_35,MACCS_36,MACCS_37,MACCS_38,MACCS_39,MACCS_40,MACCS_41,MACCS_42,MACCS_43,MACCS_44,MACCS_45,MACCS_46,MACCS_47,MACCS_48,MACCS_49,MACCS_50,MACCS_51,MACCS_52,MACCS_53,MACCS_54,MACCS_55,MACCS_56,MACCS_57,MACCS_58,MACCS_59,MACCS_60,MACCS_61,MACCS_62,MACCS_63,MACCS_64,MACCS_65,MACCS_66,MACCS_67,MACCS_68,MACCS_69,MACCS_70,MACCS_71,MACCS_72,MACCS_73,MACCS_74,MACCS_75,MACCS_76,MACCS_77,MACCS_78,MACCS_79,MACCS_80,MACCS_81,MACCS_82,MACCS_83,MACCS_84,MACCS_85,MACCS_86,MACCS_87,MACCS_88,MACCS_89,MACCS_90,MACCS_91,MACCS_92,MACCS_93,MACCS_94,MACCS_95,MACCS_96,MACCS_97,MACCS_98,MACCS_99,MACCS_100,MACCS_101,MACCS_102,MACCS_103,MACCS_104,MACCS_105,MACCS_106,MACCS_107,MACCS_108,MACCS_109,MACCS_110,MACCS_111,MACCS_112,MACCS_113,MACCS_114,MACCS_115,MACCS_116,MACCS_117,MACCS_118,MACCS_119,MACCS_120,MACCS_121,MACCS_122,MACCS_123,MACCS_124,MACCS_125,MACCS_126,MACCS_127,MACCS_128,MACCS_129,MACCS_130,MACCS_131,MACCS_132,MACCS_133,MACCS_134,MACCS_135,MACCS_136,MACCS_137,MACCS_138,MACCS_139,MACCS_140,MACCS_141,MACCS_142,MACCS_143,MACCS_144,MACCS_145,MACCS_146,MACCS_147,MACCS_148,MACCS_149,MACCS_150,MACCS_151,MACCS_152,MACCS_153,MACCS_154,MACCS_155,MACCS_156,MACCS_157,MACCS_158,MACCS_159,MACCS_160,MACCS_161,MACCS_162,MACCS_163,MACCS_164,MACCS_165,MACCS_166,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,BET,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
0,slightly hygroscopic,1,16.8283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,12.84037848,12.84037848,0.049759779,0.049759779,0.79936745,25.04347826,312.413,288.221,312.183778,122,0,0.242284384,-0.331977324,0.331977324,0.242284384,1.086956522,1.869565217,2.695652174,16.16410927,9.865301446,2.393527111,-2.450188602,2.341617484,-2.562698076,5.87442973,-0.151619564,2.612725843,1.567618876,602.2192549,15.81119031,13.53898642,13.53898642,11.23718344,8.898896265,8.898896265,7.105438519,7.105438519,5.718235612,5.718235612,4.450030146,4.450030146,-1.84,14.7333959,5.986649116,2.642452325,137.0008687,9.799819462,0,0,11.81435946,0,0,9.589074368,0,0,0,43.52793314,30.38936785,19.00741886,12.58659724,9.589074368,11.81435946,0,9.799819462,5.917906046,44.56677057,19.63426922,35.39237126,0,0,0,0,0,0,41.24844814,16.00989599,5.917906046,49.27285193,24.26546827,0,0,0,40.62,0,9.589074368,0,30.31886274,6.544756406,38.64886452,17.54772461,0,15.86618653,18.19910121,0,0,0,29.22243678,0,2.557184744,0.460742053,8.416703508,6.455969342,1.72029691,0,0.578947368,23,0,4,1,2,3,1,0,1,2,0,4,1,1,1,2,4,2.5349,87.755
1,hygroscopic,2,11.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,6.08337963,6.08337963,0,0,0.803057891,10.6,291.822,269.646,291.138992,108,0,0.107596045,-0.367459863,0.367459863,0.107596045,0.85,1.3,1.7,35.4530009,10.01479887,2.133646065,-2.199226466,2.249341601,-2.195247148,5.853026354,0.068702402,2.451170833,2.00E-06,416.4116881,13.50178923,12.0287767,12.84527328,9.270856948,6.633749826,6.633749826,4.87547377,4.87547377,3.027662328,3.027662328,1.993692891,1.993692891,-1.35,16.7036193,8.748042721,4.968138209,127.33968,9.636772685,6.103966388,0,0,0,0,0,0,0,12.40703316,60.66367068,25.22224695,6.544756406,6.606881965,4.736862954,12.40703316,0,4.899909731,0,6.103966388,27.24698234,71.79057367,0,0,0,0,0,12.40703316,32.14689207,4.736862954,0,17.23086937,60.66367068,0,0,0,12.47,0,0,0,18.51099955,0,13.15163837,11.12690298,0,12.13273414,67.52619024,4.736862954,6.08337963,0,2.131990741,0,2.402696523,0,20.7642569,0.016064815,1.650419029,4.117859033,0.294117647,20,0,2,0,0,0,2,0,2,2,0,3,6,0,0,0,2,3.776,86.481
0,no hygroscopic,3,51.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.793981481,4.793981481,0.763888889,0.763888889,0.500456436,9.285714286,114.173,108.125,114.0251692,38,0,0.176342496,-0.337409241,0.337409241,0.176342496,1.857142857,2.571428571,2.714285714,32.09199837,10.92031422,1.760808422,-1.793678742,1.8096637,-1.805667897,7.709868488,0.89430414,1.905399931,3.391829211,187.8032691,5.276020882,4.010162424,4.826659005,3.304530453,2.005151896,2.413400187,1.376133129,1.76283146,0.82529586,1.231130431,0.389874042,0.518773485,-0.57,4.585520995,1.499519552,0.718397288,46.79390537,9.551078169,0,4.771065771,0,0,0,0,0,0,0,0,12.21787344,19.44135913,0,0,12.21787344,0,9.551078169,7.047671983,0,0,17.16475291,0,0,0,0,0,12.21787344,9.551078169,7.047671983,4.771065771,0,12.39368714,0,0,0,20.72,0,0,0,0,0,4.771065771,0,0,24.00845877,4.983978521,12.21787344,2.606481481,4.793981481,2.846064815,0,0,0,0,3.685185185,0,1.90162037,0.25,7,1,2,0,0,0,0,1,1,2,1,3,0,0,0,0,1,1.08269,30.5977
0,no hygroscopic,4,46.6677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7,9.553611111,9.553611111,0.320246914,-1.257037037,0.702606428,11.7037037,390.867,367.683,390.1346349,144,0,0.328065864,-0.47807075,0.47807075,0.328065864,1.074074074,1.666666667,2.111111111,35.49569172,9.916623735,2.14966408,-2.191251124,2.271032344,-2.166549671,6.300918315,-0.133714396,2.626895613,3.87E-07,698.3934444,20.23384004,15.24838196,16.00431091,12.79060146,8.243229269,8.621193742,5.960499856,6.396935637,3.550640664,3.80261698,2.292367399,2.418355556,-2.7,22.34115226,11.82706468,9.532935638,163.2834641,15.11296452,0,0,0,0,11.93861058,4.983978521,9.589074368,0,0,29.8000411,56.88984176,34.98335114,0,19.80212916,23.53955047,0,9.883888252,0,12.33872767,20.64010037,77.09346606,0,0,0,0,0,11.60093989,52.67565399,9.589074368,0,23.59610716,60.81345326,5.022633314,0,0,90.73,11.93861058,9.589074368,0,0,18.06994626,23.68213934,5.563451492,0,30.46231185,42.17833342,21.81399468,0,5.966028255,25.81180207,16.3986393,2.385761527,-2.19382716,14.17050646,4.018079474,1.031614465,4.189173385,0.25,27,2,6,0,0,0,1,1,2,4,2,7,7,0,0,0,2,3.5304,105.1146
1,hygroscopic,5,54.1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,58.95,11.30772654,11.30772654,0.417009723,-4.638888889,0.0718596,14.98245614,910.037,865.685,909.1320338,320,0,0.466474047,-0.507277653,0.507277653,0.466474047,0.649122807,1.070175439,1.473684211,35.49569458,10.04638505,2.207503635,-2.218314069,2.373802708,-2.204347469,7.454063628,0.272398162,3.743464656,4.65E-07,1886.357887,43.3547959,29.92321113,34.25684884,26.06801458,16.20757679,22.84613475,12.15733854,16.69999137,7.486756492,7.721853595,5.595204553,5.761548108,-2.69,50.45333177,22.06430237,22.31294074,329.3269704,73.88111819,11.26621255,0,5.879988336,0,31.29078849,9.799819462,28.22815018,0,0,11.60093989,88.26051453,46.37902667,23.83058525,86.82452272,76.2028273,0,19.7677765,0,38.7727993,38.60561177,58.61410578,0,11.62950017,10.05365156,11.37477255,11.62950017,42.89172838,116.8840663,31.34970595,0,36.81018948,42.46456948,5.022633314,21.93632637,0,384.79,31.29078849,5.106527395,0,0,16.65213348,83.70654034,25.68328649,7.109797541,30.33183534,27.2493422,103.2868923,40.95726662,6.317902685,100.6431399,16.53725476,5.961524291,0.945541676,13.61682236,4.850767686,5.776173457,-16.93972682,0.379310345,57,14,23,0,2,2,2,2,4,11,14,28,7,0,2,2,6,2.3714,206.0691
0,no hygroscopic,6,37.8617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,11.48099521,11.48099521,0.31792748,-0.708443405,0.599663509,9.555555556,242.23,232.15,242.0579088,90,0,0.385830522,-0.24150452,0.385830522,0.24150452,0.611111111,0.944444444,1.277777778,17.21803723,10.21105237,2.124493954,-2.023123121,2.046174601,-2.110875836,5.916642035,-0.18714366,2.459545814,1.929663044,468.979473,12.79468245,9.406495854,9.406495854,8.770856948,5.304530453,5.304530453,3.473632431,3.473632431,2.212024039,2.212024039,1.320383634,1.320383634,-2.62,11.85349205,5.631910067,2.946780724,103.6978115,0,0,0,0,0,11.93861058,0,19.36421627,0,0,36.39820241,24.26546827,0,11.12690298,19.36421627,11.93861058,0,0,0,0,0,71.79057367,0,0,0,0,0,0,11.93861058,9.775141907,0,20.71597735,60.66367068,0,0,0,52.6,11.93861058,9.589074368,0,0,11.12690298,0,0,60.66367068,0,9.775141907,0,0,0,31.87358529,0,0.635854959,-1.41688681,16.57411323,0,0,0,0,18,0,4,0,0,0,2,0,2,4,0,4,2,0,0,0,2,2.6154,63.715
0,no hygroscopic,8,61.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,13.54334775,13.54334775,0.016967685,-0.670115147,0.373566692,26.13636364,608.688,568.368,608.2733809,236,0,0.338274343,-0.496686979,0.496686979,0.338274343,0.909090909,1.659090909,2.295454545,16.57558107,9.634927459,2.542112585,-2.524359178,2.505270986,-2.580320169,5.912479855,-0.175932687,3.433717404,1.293564643,1483.261122,31.12022691,26.00783508,26.00783508,21.34513011,14.8927547,14.8927547,11.69185188,11.69185188,9.76032879,9.76032879,7.761993057,7.761993057,-3.96,30.08270765,12.20287649,5.012352023,256.1734235,38.1420192,17.95744461,11.49902367,5.749511833,0,11.93861058,9.694446915,4.794537184,0,0,0,60.92719673,42.86253035,53.07218607,42.74711504,22.84153551,0,9.883888252,17.75371814,37.51223847,55.74829806,47.15266632,0,22.99804733,18.94745182,0,22.99804733,0,89.77872966,25.42594767,17.75371814,40.49885224,30.33183534,0,10.90292493,0,117.78,24.09514411,9.589074368,0,29.4104097,23.66935712,37.19736861,45.08279387,26.35232922,12.13273414,15.95025532,33.15804068,39.11257874,0,33.14176854,1.212289738,3.827352804,0.440627895,9.395643196,0.91975315,1.682518402,9.100800876,0.515151515,44,1,11,1,2,3,2,1,3,10,1,11,8,1,1,2,6,4.1711,160.6872
0,slightly hygroscopic,9,28.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.74,11.27198928,11.27198928,0,-4.758711444,0.298590986,12.78947368,302.368,279.184,302.1163891,108,0,1,-0.745941302,1,0.745941302,1.105263158,1.578947368,2.052631579,,,,,,,,,2.261902504,0,302.9300119,14.01866157,11.92976635,14.74626293,8.375227326,6.520487148,7.991891669,4.561569011,6.091319415,2.794683771,3.627797618,1.678163488,2.068180145,0.54,21.83156357,12.29355561,13.28408426,137.7514058,9.659277269,21.33737018,0,0,0,29.55728603,4.794537184,8.417796984,0,0,45.44866694,6.420821623,12.84164325,0,52.42889747,15.90137181,0,0,0,70.14713018,0,0,0,0,29.55728603,0,0,0,29.29631757,14.91266404,0,64.71113181,0,0,0,0,94.5,21.97494685,17.76508404,0,41.7613526,6.420821623,19.26246487,19.26246487,0,0,6.9237372,5.106527395,31.15683384,0,11.27198928,8.934628327,-2.088375736,-0.365293341,0,7.118727992,2.146867751,-4.758711444,0.916666667,19,1,5,0,0,0,0,0,0,5,1,7,11,0,0,0,0,-1.0461,67.938
0,no hygroscopic,10,52.8376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.42,11.07796873,11.07796873,0.282282736,-1.387010564,0.756267759,42.35714286,380.528,348.272,380.2351449,150,0,0.155894194,-0.490433732,0.490433732,0.155894194,1.178571429,1.964285714,2.714285714,16.48972859,9.531120852,2.647414334,-2.515140902,2.6370865,-2.527811214,5.413334851,-0.100520453,3.274982411,1.410034491,790.7466044,19.51829709,16.86278893,16.86278893,13.45947521,11.13762969,11.13762969,9.918813623,9.918813623,8.742764515,8.742764515,7.111594267,7.111594267,-1.5,18.52364956,6.507120842,2.504535147,168.0432168,14.94991774,5.749511833,5.601050811,0,0,0,0,0,0,6.423349896,18.91053859,98.80074987,5.414990469,12.20793278,14.94991774,0,0,0,17.25080256,88.43802144,0,29.32600419,0,18.09329605,4.736862954,0,5.749511833,0,28.02203838,6.420821623,29.59458678,75.33511921,18.19910121,0,0,0,49.69,11.7050172,10.21305479,0,11.33289652,24.3606001,31.43279832,36.81018948,0,0,31.04327272,11.16021285,6.230429094,0,0,21.67082171,1.126471751,4.887390251,6.727600939,14.91480262,2.109150305,0,0.68,28,2,3,4,0,4,1,0,1,3,2,3,2,3,0,3,5,4.1992,109.1156
0,no hygroscopic,11,49.3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,9.410679688,9.410679688,0.284152737,0.284152737,0.779698485,12.1,268.356,248.196,268.1463299,104,0,0.115118034,-0.507966248,0.507966248,0.115118034,0.65,0.95,1.2,16.25644404,9.910873719,2.08657378,-2.139846479,2.32036954,-1.910888685,5.903595295,0.474431561,2.470190481,2.521517739,527.4403665,14.53516943,11.92744291,11.92744291,9.651397005,6.961268349,6.961268349,4.757961611,4.757961611,3.502916324,3.502916324,2.508715892,2.508715892,-2.22,14.19464363,6.286951763,3.020901581,119.5770145,10.21305479,11.49902367,0,0,0,0,0,0,0,0,38.11294267,59.38022356,0,0,10.21305479,11.14620906,0,0,0,26.68911765,0,59.65783953,0,11.49902367,0,0,11.49902367,0,10.21305479,0,0,37.81602063,48.53093655,0,11.14620906,0,40.46,0,10.21305479,0,11.49902367,0,23.96854623,11.14620906,24.26546827,24.26546827,13.8474744,0,0,0,0,18.82135938,4.821138511,0.568305474,14.66402263,1.850843254,4.274330751,0,0.222222222,20,2,2,0,0,0,2,0,2,2,2,2,4,0,0,0,2,4.8286,83.6096
